Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power,N_Trace,N_Station,Source_Files
20230907_104600-104800,Rockfall,3.393024863904847e-11,6.1477502441125005e-06,-0.015073011303152214,1.5654180828435664,6.147750246629249e-06,2.4989122278841638e-05,9.48744359773025e-07,292.8,1.129890567220826,1.2092355008634792,6.1861541123815815,356.0,1.3299999999999998,0.5048661646377861,5,5,20230907_104600-104800_R0279.mseed;20230907_104600-104800_R265F.mseed;20230907_104600-104800_R6940.mseed;20230907_104600-104800_R7D17.mseed;20230907_104600-104800_RE5DE.mseed
20230820_133120-133320,Rockfall,-2.4425369295394412e-11,4.618036203684762e-06,0.009915829538361691,5.827313825078793,4.618036204432572e-06,2.6424955215167906e-05,2.7856912462925176e-07,273.8,0.8782751437380218,1.1396749925239262,5.95871332423575,138.0,0.14999999999999997,0.7496636175495602,5,5,20230820_133120-133320_R0279.mseed;20230820_133120-133320_R265F.mseed;20230820_133120-133320_R6940.mseed;20230820_133120-133320_R7D17.mseed;20230820_133120-133320_RE5DE.mseed
20230828_203340-203540,Rockfall,-1.551524934655406e-11,4.710497588455693e-06,-0.0063916143467930425,0.8738466450119402,4.710497588649148e-06,1.8874305491063435e-05,2.676308446876424e-07,254.6,1.021581534872094,1.0572494702715107,5.312373003910631,194.0,0.08999999999999998,0.6759295663060717,5,5,20230828_203340-203540_R0279.mseed;20230828_203340-203540_R265F.mseed;20230828_203340-203540_R6940.mseed;20230828_203340-203540_R7D17.mseed;20230828_203340-203540_RE5DE.mseed
20230911_131320-131520,Rockfall,-5.5248659240382435e-12,2.377026675297497e-06,0.021923662943172544,7.516401520541926,2.3770266756200698e-06,1.4419965674024098e-05,7.02448208797293e-08,296.6,0.9815848679276726,1.219854933252266,6.240255839002117,356.0,1.3099999999999998,0.5225983291320534,5,5,20230911_131320-131520_R0279.mseed;20230911_131320-131520_R265F.mseed;20230911_131320-131520_R6940.mseed;20230911_131320-131520_R7D17.mseed;20230911_131320-131520_RE5DE.mseed
20230908_232830-233030,Rockfall,-4.374574350726668e-11,3.6496443971035445e-06,0.021816212504148287,9.06797806940852,3.6496443976259122e-06,2.7872845638682776e-05,1.6019905030602735e-07,291.0,1.064911257395217,1.179767277208494,6.148945609755994,198.0,0.12999999999999998,0.8258147599143401,5,5,20230908_232830-233030_R0279.mseed;20230908_232830-233030_R265F.mseed;20230908_232830-233030_R6940.mseed;20230908_232830-233030_R7D17.mseed;20230908_232830-233030_RE5DE.mseed
20230827_034400-034600,Rockfall,4.1659895822534396e-11,2.6870913303329917e-06,0.0054481947018559145,0.8139037785023916,2.6870913307160526e-06,1.1626338227520419e-05,9.185765809710245e-08,295.0,0.9565869510874094,1.2052937640179353,6.25632340380901,124.0,0.57,0.3989947169486117,5,5,20230827_034400-034600_R0279.mseed;20230827_034400-034600_R265F.mseed;20230827_034400-034600_R6940.mseed;20230827_034400-034600_R7D17.mseed;20230827_034400-034600_RE5DE.mseed
20230824_133740-133940,Rockfall,7.540837530936396e-12,2.533145790420662e-06,-0.00788882512094251,0.5480581468171335,2.5331457907192087e-06,9.971835086949647e-06,7.725089409061418e-08,280.8,0.9015915340388301,1.1307614557414751,6.086728004706918,182.0,0.32999999999999996,0.5755753711665774,5,5,20230824_133740-133940_R0279.mseed;20230824_133740-133940_R265F.mseed;20230824_133740-133940_R6940.mseed;20230824_133740-133940_R7D17.mseed;20230824_133740-133940_RE5DE.mseed
20230902_182040-182240,Rockfall,-7.501569843031118e-11,2.3677745419225814e-06,-0.004176217462356577,1.4645326584449374,2.3677745441743054e-06,1.044917985056946e-05,6.759400364135561e-08,275.6,0.9399216731939004,1.149105098993865,6.105572523045673,352.0,1.2099999999999997,0.4815670276813951,5,5,20230902_182040-182240_R0279.mseed;20230902_182040-182240_R265F.mseed;20230902_182040-182240_R6940.mseed;20230902_182040-182240_R7D17.mseed;20230902_182040-182240_RE5DE.mseed
20230904_115740-115940,Rockfall,5.7385694371589594e-11,3.3277506822035125e-06,0.008175032678480488,1.6912564521192954,3.3277506830011025e-06,1.5406970322215888e-05,1.330043782621896e-07,282.8,0.9415882009832515,1.1568288634240722,6.061701507857537,356.0,1.2299999999999998,0.6329425135392814,5,5,20230904_115740-115940_R0279.mseed;20230904_115740-115940_R265F.mseed;20230904_115740-115940_R6940.mseed;20230904_115740-115940_R7D17.mseed;20230904_115740-115940_RE5DE.mseed
20230903_083710-083910,Rockfall,7.19776740587487e-11,3.0142305390948688e-06,0.004583805429300017,0.37008892297103707,3.0142305402222717e-06,1.0988895587762683e-05,1.0982479949594327e-07,294.2,1.019915007082743,1.1994368023986148,6.171017406847955,8.0,1.1899999999999997,0.5146321329713918,5,5,20230903_083710-083910_R0279.mseed;20230903_083710-083910_R265F.mseed;20230903_083710-083910_R6940.mseed;20230903_083710-083910_R7D17.mseed;20230903_083710-083910_RE5DE.mseed
20230820_031510-031710,Rockfall,-7.641837064659416e-11,2.8014605301217148e-06,-0.0026034721343230634,0.8649927691374171,2.801460531747806e-06,1.1638498243651162e-05,9.447531910215139e-08,297.2,0.9199387551037412,1.2133006301595877,6.210612356962409,358.0,0.8899999999999999,0.5617295062404045,5,5,20230820_031510-031710_R0279.mseed;20230820_031510-031710_R265F.mseed;20230820_031510-031710_R6940.mseed;20230820_031510-031710_R7D17.mseed;20230820_031510-031710_RE5DE.mseed
20230830_035020-035220,Rockfall,-6.51251623477228e-11,3.530144458462681e-06,-0.004844283189600796,1.704066903582469,3.5301444595483745e-06,1.57076774519408e-05,1.5028893703536906e-07,306.0,1.1815682026497791,1.2450785087429679,6.2014388052664655,0.0,1.4099999999999997,0.6212377689912046,5,5,20230830_035020-035220_R0279.mseed;20230830_035020-035220_R265F.mseed;20230830_035020-035220_R6940.mseed;20230830_035020-035220_R7D17.mseed;20230830_035020-035220_RE5DE.mseed
20230820_203620-203820,Rockfall,-3.479355923285136e-11,2.627829658090011e-06,0.005563299039412921,2.115282952430307,2.6278296586592757e-06,1.3012609882397965e-05,8.313477072949058e-08,284.8,1.0599116740271644,1.1762006651100088,6.208063331592857,4.0,1.2499999999999998,0.6238724119486327,5,5,20230820_203620-203820_R0279.mseed;20230820_203620-203820_R265F.mseed;20230820_203620-203820_R6940.mseed;20230820_203620-203820_R7D17.mseed;20230820_203620-203820_RE5DE.mseed
20230910_101140-101340,Rockfall,3.3498924002165255e-11,3.6431149710496087e-06,-0.010328502319705148,3.6051501203468668,3.6431149715155247e-06,1.757496039067516e-05,2.283657870883851e-07,301.6,1.2482293142238146,1.2494517144678325,6.255484897060192,144.0,1.4299999999999997,0.29570786582953074,5,5,20230910_101140-101340_R0279.mseed;20230910_101140-101340_R265F.mseed;20230910_101140-101340_R6940.mseed;20230910_101140-101340_R7D17.mseed;20230910_101140-101340_RE5DE.mseed
20230905_073250-073450,Rockfall,-4.7679659312970416e-11,5.810846065456971e-06,0.036681441981592955,5.5072035574828755,5.810846066791276e-06,3.473261398815499e-05,4.467725683627126e-07,302.4,1.2498958420131656,1.2598255120765187,6.171289644441927,340.0,1.1099999999999999,0.43453903752835515,5,5,20230905_073250-073450_R0279.mseed;20230905_073250-073450_R265F.mseed;20230905_073250-073450_R6940.mseed;20230905_073250-073450_R7D17.mseed;20230905_073250-073450_RE5DE.mseed
20230830_164000-164200,Rockfall,-4.246376554767782e-11,2.4324077625411005e-06,-0.012096713947870598,0.4374702260530256,2.4324077633794205e-06,9.17050856421754e-06,7.10751994594383e-08,285.2,0.9032580618281809,1.1680616092382041,5.992189841410951,352.0,1.13,0.5102951906542084,5,5,20230830_164000-164200_R0279.mseed;20230830_164000-164200_R265F.mseed;20230830_164000-164200_R6940.mseed;20230830_164000-164200_R7D17.mseed;20230830_164000-164200_RE5DE.mseed
20230903_132420-132620,Rockfall,2.5657812961445473e-11,2.9551831925346316e-06,-0.028368654872944238,1.219773411655853,2.9551831927841718e-06,1.280954697246915e-05,1.0489321784027952e-07,289.6,0.9132572285642864,1.171310953904385,6.079667347125899,358.0,1.2899999999999998,0.5110313648038244,5,5,20230903_132420-132620_R0279.mseed;20230903_132420-132620_R265F.mseed;20230903_132420-132620_R6940.mseed;20230903_132420-132620_R7D17.mseed;20230903_132420-132620_RE5DE.mseed
20230820_191840-192040,Rockfall,1.1381583833819406e-11,4.18946603982392e-06,0.007932123428906904,17.239033979791387,4.189466040344562e-06,3.1047357626849497e-05,2.3460453526422143e-07,291.8,1.138238480126656,1.2362733670818926,6.228161652415041,142.0,0.12999999999999998,0.5908379160795973,5,5,20230820_191840-192040_R0279.mseed;20230820_191840-192040_R265F.mseed;20230820_191840-192040_R6940.mseed;20230820_191840-192040_R7D17.mseed;20230820_191840-192040_RE5DE.mseed
20230901_010240-010440,Rockfall,5.737246163678104e-11,5.112735061157277e-06,-0.022492477986935336,0.977922379738712,5.112735061724577e-06,2.137113179477875e-05,3.1499549681929926e-07,305.0,1.2948920923256395,1.2427297493254614,6.231591416007726,176.0,0.30999999999999994,0.4969473271264075,5,5,20230901_010240-010440_R0279.mseed;20230901_010240-010440_R265F.mseed;20230901_010240-010440_R6940.mseed;20230901_010240-010440_R7D17.mseed;20230901_010240-010440_RE5DE.mseed
20230905_114040-114240,Rockfall,3.0536409523176415e-11,3.248592253597911e-06,-0.017966390038323902,1.4062948437247174,3.2485922537547816e-06,1.4409657091856386e-05,1.2746327205563997e-07,288.2,0.9815848679276726,1.174874059290638,6.17986916972413,0.0,1.2299999999999998,0.6277440658798471,5,5,20230905_114040-114240_R0279.mseed;20230905_114040-114240_R265F.mseed;20230905_114040-114240_R6940.mseed;20230905_114040-114240_R7D17.mseed;20230905_114040-114240_RE5DE.mseed
20230828_060600-060800,Rockfall,-4.8071286354151674e-11,5.28451003382412e-06,-0.004274685603366808,1.3738336340076454,5.284510034078547e-06,2.2382624531209344e-05,3.366294408618115e-07,288.2,1.0615782018165152,1.1812561744162167,6.060977778305081,212.0,0.16999999999999998,0.5425628099674014,5,5,20230828_060600-060800_R0279.mseed;20230828_060600-060800_R265F.mseed;20230828_060600-060800_R6940.mseed;20230828_060600-060800_R7D17.mseed;20230828_060600-060800_RE5DE.mseed
20230825_160140-160340,Rockfall,6.53337001337816e-11,2.462862632275289e-06,-0.0035979567036188874,1.5050738198333593,2.4628626336857935e-06,1.1634231170905458e-05,7.303480673976697e-08,285.6,0.8915923673027247,1.1841279729497736,6.209384069753028,358.0,1.3099999999999998,0.5171189472918141,5,5,20230825_160140-160340_R0279.mseed;20230825_160140-160340_R265F.mseed;20230825_160140-160340_R6940.mseed;20230825_160140-160340_R7D17.mseed;20230825_160140-160340_RE5DE.mseed
20230904_015330-015530,Rockfall,-9.602808096601583e-11,3.2769508048126163e-06,0.019596022132333045,0.7186863833238337,3.2769508064304615e-06,1.2526339609482363e-05,1.2903277331725353e-07,304.0,1.273227231064078,1.269406121804559,6.213979257028697,316.0,0.38999999999999996,0.42827233336069737,5,5,20230904_015330-015530_R0279.mseed;20230904_015330-015530_R265F.mseed;20230904_015330-015530_R6940.mseed;20230904_015330-015530_R7D17.mseed;20230904_015330-015530_RE5DE.mseed
20230908_222600-222800,Rockfall,7.472402111916152e-11,2.034019604223315e-06,-0.016087721588676267,0.3328189153530639,2.03401960610073e-06,7.520061206471378e-06,4.969366693753867e-08,290.0,1.0565786184484627,1.1851788202346254,6.263518803096842,350.0,0.6499999999999999,0.43489796132173997,5,5,20230908_222600-222800_R0279.mseed;20230908_222600-222800_R265F.mseed;20230908_222600-222800_R6940.mseed;20230908_222600-222800_R7D17.mseed;20230908_222600-222800_RE5DE.mseed
20230827_183500-183700,Rockfall,9.625161609824781e-12,1.6417397777607428e-06,-0.006481888424339383,0.16287540898022276,1.641739778069496e-06,5.837583035934367e-06,3.2547429506672684e-08,272.6,0.9182568119323389,1.11952759372065,6.03293806447632,188.0,0.3499999999999999,0.5013268482388182,5,5,20230827_183500-183700_R0279.mseed;20230827_183500-183700_R265F.mseed;20230827_183500-183700_R6940.mseed;20230827_183500-183700_R7D17.mseed;20230827_183500-183700_RE5DE.mseed
20230911_101040-101240,Rockfall,-1.7684420003852913e-11,5.306341113903921e-06,-0.005686476915556705,6.030281625848241,5.3063411140509916e-06,3.3563754534608226e-05,3.4956340188671847e-07,317.4,1.329889175902008,1.3307550882872776,6.2312458136028095,172.0,0.7299999999999999,0.4520497045383916,5,5,20230911_101040-101240_R0279.mseed;20230911_101040-101240_R265F.mseed;20230911_101040-101240_R6940.mseed;20230911_101040-101240_R7D17.mseed;20230911_101040-101240_RE5DE.mseed
20230830_201410-201610,Rockfall,3.2975998263028444e-11,2.388049162898219e-06,-0.000729661110403047,1.2555502976232233,2.3880491631341556e-06,1.1015882619703803e-05,6.85008035628941e-08,281.2,1.0032497291892342,1.1720409642686296,6.1214579545476875,350.0,1.1099999999999999,0.5608134943671782,5,5,20230830_201410-201610_R0279.mseed;20230830_201410-201610_R265F.mseed;20230830_201410-201610_R6940.mseed;20230830_201410-201610_R7D17.mseed;20230830_201410-201610_RE5DE.mseed
20230827_225900-230100,Rockfall,-3.7677155032810777e-11,2.1521381747142333e-06,-0.01877154322855162,0.17893820588937182,2.1521381752376205e-06,7.55097864993031e-06,5.587999266035419e-08,289.2,1.0565786184484627,1.1831322106770794,6.080053086432168,30.0,0.38999999999999996,0.42497206610095345,5,5,20230827_225900-230100_R0279.mseed;20230827_225900-230100_R265F.mseed;20230827_225900-230100_R6940.mseed;20230827_225900-230100_R7D17.mseed;20230827_225900-230100_RE5DE.mseed
20230828_215820-220020,Rockfall,-3.7836755501470016e-11,2.931841145216915e-06,-0.0046628022832825,1.4384979926289605,2.9318411455365654e-06,1.2534800260640097e-05,1.0339490663191388e-07,294.0,1.2532288975918675,1.2350257015843646,6.209621145564684,354.0,1.4699999999999998,0.6177741190059016,5,5,20230828_215820-220020_R0279.mseed;20230828_215820-220020_R265F.mseed;20230828_215820-220020_R6940.mseed;20230828_215820-220020_R7D17.mseed;20230828_215820-220020_RE5DE.mseed
20230902_112030-112230,Rockfall,3.126553216704092e-11,2.3560693126153633e-06,0.022827936145468675,0.5463369898683264,2.356069313414841e-06,9.435963780150607e-06,6.667422381879588e-08,294.4,1.0999083409715857,1.2029281485701802,6.239427906335175,0.0,1.4499999999999997,0.5494800879276427,5,5,20230902_112030-112230_R0279.mseed;20230902_112030-112230_R265F.mseed;20230902_112030-112230_R6940.mseed;20230902_112030-112230_R7D17.mseed;20230902_112030-112230_RE5DE.mseed
20230828_202100-202300,Rockfall,1.9595301064663417e-11,7.740861501482613e-06,0.0001793901308979339,1.9890531091400827,7.740861501847935e-06,3.244191668611154e-05,7.260743628991801e-07,250.4,0.97658528455962,1.0174735795531398,5.525781608136528,228.0,0.26999999999999996,0.6078962400860005,5,5,20230828_202100-202300_R0279.mseed;20230828_202100-202300_R265F.mseed;20230828_202100-202300_R6940.mseed;20230828_202100-202300_R7D17.mseed;20230828_202100-202300_RE5DE.mseed
20230905_004200-004400,Rockfall,-4.716046723346193e-11,4.515235373750798e-06,0.004058510352163692,1.2956603696354165,4.515235374355544e-06,1.97370509871673e-05,2.4520844829481325e-07,296.2,1.2998916756936922,1.2143846555295112,6.2332518922034055,0.0,1.3899999999999997,0.6698446309668846,5,5,20230905_004200-004400_R0279.mseed;20230905_004200-004400_R265F.mseed;20230905_004200-004400_R6940.mseed;20230905_004200-004400_R7D17.mseed;20230905_004200-004400_RE5DE.mseed
20230830_030250-030450,Rockfall,-4.489934213811268e-12,3.906340749773405e-06,0.009301139803544816,2.9267402785465153,3.906340750226461e-06,1.978529816172354e-05,1.8545126178617805e-07,295.2,1.064911257395217,1.1761730911389647,6.02991970970156,356.0,1.0899999999999999,0.6294479286023058,5,5,20230830_030250-030450_R0279.mseed;20230830_030250-030450_R265F.mseed;20230830_030250-030450_R6940.mseed;20230830_030250-030450_R7D17.mseed;20230830_030250-030450_RE5DE.mseed
