Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power
20230817_170140-170340,Multiphase,-0.004259555409830565,0.8678245524026921,-0.007011410902109216,0.6753596334193945,0.8678350059574816,3.040085704003945,2259.4127926956667,62,0.8333333333333334,1.0633320997964908,4.292943778526077,352.0,1.2899999999999998,0.4812095018340043
20230828_011230-011430,Multiphase,-0.0030946530300205617,1.1452024095575748,-0.11955068407977198,2.9615031857650376,1.1452065908533062,5.236885017980109,3934.494407201555,67,1.3333333333333333,1.0863447699255846,4.321032020148933,358.0,1.15,0.598947434393566
20230905_175900-180100,Multiphase,-0.005932675938707291,1.5472205810007345,0.002854738604991724,0.9826804056319838,1.5472319551108178,4.96062418283379,7181.7801687481315,64,1.0333333333333332,1.042316790688832,3.5846177294102795,356.0,1.17,0.7499008333324462
20230905_133640-133840,Multiphase,-0.0008030872832416165,0.8325358149152134,-0.04058022430111956,0.5216540998353127,0.8325362022553272,2.853888447009786,2079.3495841971694,74,1.2,1.168558038617384,3.892547290916793,356.0,1.1099999999999999,0.45958455281385835
20230908_123940-124140,Multiphase,-0.003241222149797982,1.0537203363787635,-0.04269424970334706,0.7876031094532094,1.0537253213334103,3.3814828156121104,3331.0111584575966,70,0.9,1.0863850768700003,4.343673445582661,356.0,1.17,0.7005199910072193
20230902_181740-181940,Multiphase,-0.0013958442942420721,1.515199558487539,-0.013146009360490558,3.229783620148428,1.515200201432843,5.74733691571579,6887.494951266383,68,0.8666666666666667,1.0333451428078748,3.8964571290351837,2.0,1.4899999999999998,0.7632962856894505
20230904_061450-061650,Multiphase,0.00040439427714305035,1.4909671926980463,0.0058463763603773845,0.8996960180814062,1.490967247539873,4.743473983530985,6668.949999709874,68,1.0,1.0603187256722981,3.4922505366969534,354.0,1.1899999999999997,0.7373550439897943
20230816_044240-044440,Multiphase,-0.0033774803934265188,1.4332361284543247,0.0315585355762299,0.29370451391088714,1.4332401080351294,4.271555598017719,6162.531621841648,66,1.0,1.025049133837838,3.3673417804285632,348.0,0.36999999999999994,0.6515530439683554
20230904_214700-214900,Multiphase,0.0012970833469015824,1.0205254435337068,0.014851162441652861,0.786904275514587,1.0205262678269862,3.041674810565726,3124.421589974633,64,0.9333333333333333,1.0055993680664388,3.2227844717323526,358.0,1.4099999999999997,0.5970914212847115
20230911_073950-074150,Rockfall,-0.005912268227304668,1.118401829649806,0.027210756752216392,-0.2570817438488415,1.1184174567126648,3.4288691643470663,3752.5728224388763,78,1.3333333333333333,1.256655760866679,4.165155242976235,358.0,1.3499999999999999,0.6502829845912202
20230901_191500-191700,Rockfall,0.0019424689165814185,1.0716180958968196,0.0703655034626711,-0.1757454149148856,1.0716198564038542,3.1385082560484543,3445.107349917051,64,0.7666666666666666,1.0179893654621974,3.818591175874695,136.0,0.18999999999999997,0.7601576084563152
20230824_190300-190500,Rockfall,0.003399668006494463,0.8363214612884949,-0.07250932655425195,0.41523647395815466,0.8363283711283973,2.691003585636974,2098.3354330628345,64,1.1,1.0663588006275158,4.241547233204337,358.0,1.0699999999999998,0.5311193168735852
20230826_074640-074840,Rockfall,-0.002136973673093106,0.7170980459306792,-0.012207375973238654,0.166892406645053,0.7171012300464127,2.294333292242944,1542.702522402234,70,0.9,1.043402582293669,3.406277086434974,304.0,0.32999999999999996,0.4398167043741245
20230828_052630-052830,Rockfall,0.0049535305977985115,1.0217045583931417,0.14432352468102252,2.5651047696829634,1.0217165664247143,3.89630095488648,3131.714226320123,66,1.1,1.0665069000879506,4.180649518285296,144.0,0.20999999999999996,0.8083742764940474
20230824_215100-215300,Rockfall,0.00023902968205746807,0.9817164323667472,0.0032923467314800404,2.3713733387809697,0.9817164614663864,3.7103282770347357,2891.3016321422488,69,0.9333333333333333,1.0265366948128583,3.8717326927754017,0.0,1.3699999999999999,0.5665710037328016
20230828_184630-184830,Rockfall,0.0023945097489428994,1.0176491263184648,0.0050888372991882164,0.18714182389257683,1.0176519434333493,3.0742495822061544,3106.8464339210186,66,0.9,1.0552123113506053,4.250587931333339,350.0,0.9099999999999998,0.5043228069504948
20230828_190810-191010,Rockfall,-0.00622878641903269,1.0295942791693289,-0.03037594520820001,0.2234597307216677,1.029613120292503,3.307093759709356,3180.3095324353926,64,1.0333333333333332,1.1395166836744655,4.359001008797793,324.0,0.18999999999999997,0.5907714490218874
